Jerago con Orago comune,Jerago con Orago comune.1
,
"Jerago con Orago – VedutaCastello, foto di Paolo Monti del 1980","Jerago con Orago – VedutaCastello, foto di Paolo Monti del 1980"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Varese
Amministrazione,Amministrazione
Sindaco,Emilio Aliverti (lista civica Jerago e Orago insieme) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°42′N 8°48′E
Altitudine,324 m s.l.m.
Superficie,"4,03 km²"
Abitanti,5 184[1] (30-11-2025)
Densità,"1 286,35 ab./km²"
Frazioni,Orago
Comuni confinanti,"Albizzate, Besnate, Cavaria con Premezzo, Oggiona con Santo Stefano, Solbiate Arno, Sumirago"
Altre informazioni,Altre informazioni
Cod. postale,21040
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,012085
Cod. catastale,E386
Targa,VA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 591 GG[3]"
Nome abitanti,jeraghesi e oraghesi
Cartografia,Cartografia
Jerago con Orago,Jerago con Orago
Jerago con Orago – MappaPosizione del comune di Jerago con Orago nella provincia di Varese,Jerago con Orago – MappaPosizione del comune di Jerago con Orago nella provincia di Varese
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
