Pratovecchio Stia comune,Pratovecchio Stia comune.1
,
Pratovecchio Stia – Veduta,Pratovecchio Stia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Luca Santini (lista civica) dal 20-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,43°48′14″N 11°42′34″E
Altitudine,441 m s.l.m.
Superficie,"138,24[1] km²"
Abitanti,5 398[2] (30-11-2025)
Densità,"39,05 ab./km²"
Frazioni,"Campolombardo, Casalino, Castel Castagnaio, Gualdo, Lonnano, Moiano, Molin di Bucchio, Monte di Gianni, Moriccia, Palazzo, Papiano, Porciano, Pratariccia, Pratovecchio, Romena, Serelli, Stia (sede comunale), Tartiglia, Vallucciole, Villa[3][4]"
Comuni confinanti,"Bagno di Romagna (FC), Castel San Niccolò, Londa (FI), Montemignaio, Pelago (FI), Poppi, Rufina (FI), San Godenzo (FI), Santa Sofia (FC)"
Altre informazioni,Altre informazioni
Cod. postale,52015 (Pratovecchio); 52017 (Stia)
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051041
Cod. catastale,M329
Targa,AR
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona E, 2 234 GG[6]"
Nome abitanti,pratovecchini e stiani
Cartografia,Cartografia
Pratovecchio Stia,Pratovecchio Stia
Pratovecchio Stia – MappaPosizione del comune di Pratovecchio Stia nella provincia di Arezzo,Pratovecchio Stia – MappaPosizione del comune di Pratovecchio Stia nella provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
