Castiglion Fibocchi comune,Castiglion Fibocchi comune.1
,
Castiglion Fibocchi – Veduta,Castiglion Fibocchi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Marco Ermini (lista civica Il futuro insieme) dal 27-5-2019
Territorio,Territorio
Coordinate,43°31′44″N 11°45′49″E
Altitudine,300 m s.l.m.
Superficie,"25,46 km²"
Abitanti,2 122[1] (30-11-2025)
Densità,"83,35 ab./km²"
Frazioni,Gello Biscardo
Comuni confinanti,"Arezzo, Capolona, Laterina Pergine Valdarno, Loro Ciuffenna, Talla, Terranuova Bracciolini"
Altre informazioni,Altre informazioni
Cod. postale,52029
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051011
Cod. catastale,C318
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 093 GG[3]"
Nome abitanti,castiglionesi
Patrono,San Pietro Apostolo e Martire
Giorno festivo,29 giugno
Cartografia,Cartografia
Castiglion Fibocchi,Castiglion Fibocchi
Castiglion Fibocchi – MappaPosizione del comune di Castiglion Fibocchi all'interno della provincia di Arezzo,Castiglion Fibocchi – MappaPosizione del comune di Castiglion Fibocchi all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
