Pieve Santo Stefano comune,Pieve Santo Stefano comune.1
,
Pieve Santo Stefano – VedutaPanorama di Pieve Santo Stefano.,Pieve Santo Stefano – VedutaPanorama di Pieve Santo Stefano.
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Claudio Marcelli (Insieme per Pieve) dal 27-5-2019
Territorio,Territorio
Coordinate,43°40′21″N 12°02′32″E
Altitudine,431 m s.l.m.
Superficie,"156,1 km²"
Abitanti,2 968[1] (30-11-2025)
Densità,"19,01 ab./km²"
Frazioni,"Baldignano, Brancialino, Bulciano, Castelnuovo, Cerbaiolo, Cercetole, Cirignone, Formole, Madonnuccia, Mignano, Mogginano, Montalone, Sigliano, Tizzano, Valdazze, Valsavignone, Viamaggio, Ville di Roti"
Comuni confinanti,"Anghiari, Badia Tedalda, Caprese Michelangelo, Chiusi della Verna, Sansepolcro, Verghereto (FC)"
Altre informazioni,Altre informazioni
Cod. postale,52036
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051030
Cod. catastale,G653
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 297 GG[3]"
Nome abitanti,pievani
Patrono,santo Stefano; Madonna dei Lumi
Giorno festivo,"26 dicembre, 8 settembre"
Cartografia,Cartografia
Pieve Santo Stefano,Pieve Santo Stefano
Pieve Santo Stefano – MappaPosizione del comune di Pieve Santo Stefano all'interno della provincia di Arezzo,Pieve Santo Stefano – MappaPosizione del comune di Pieve Santo Stefano all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
