Castel Focognano comune,Castel Focognano comune.1
,
Castel Focognano – Veduta,Castel Focognano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Lorenzo Ricci (lista civica Impegno comune per Castel Focognano) dal 27-5-2019 (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,43°39′12.1″N 11°47′16.8″E
Altitudine,310 m s.l.m.
Superficie,"56,63 km²"
Abitanti,2 934[1] (30-11-2025)
Densità,"51,81 ab./km²"
Frazioni,"Calleta, Carda, Castel Focognano, Pieve a Socana, Rassina (capoluogo), Salutio[2]"
Comuni confinanti,"Bibbiena, Capolona, Chiusi della Verna, Loro Ciuffenna, Ortignano Raggiolo, Poppi, Subbiano, Talla"
Altre informazioni,Altre informazioni
Cod. postale,52016
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051008
Cod. catastale,C102
Targa,AR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 109 GG[4]"
Nome abitanti,Rassinesi
Patrono,San Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Castel Focognano,Castel Focognano
Castel Focognano – MappaPosizione del comune di Castel Focognano all'interno della provincia di Arezzo,Castel Focognano – MappaPosizione del comune di Castel Focognano all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
