Monte San Savino comune,Monte San Savino comune.1
,
Monte San Savino – Veduta,Monte San Savino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Gianni Bennati (lista civica di centro-destra 52048 Rinasci) dal 13-6-2022
Territorio,Territorio
Coordinate,43°19′49″N 11°43′51″E
Altitudine,330 m s.l.m.
Superficie,"89,87 km²"
Abitanti,8 586[1] (30-11-2025)
Densità,"95,54 ab./km²"
Frazioni,"Alberoro, Dreini, Gargonza, Montagnano, Palazzuolo, Verniana"
Comuni confinanti,"Arezzo, Bucine, Civitella in Val di Chiana, Lucignano, Marciano della Chiana, Rapolano Terme (SI)"
Altre informazioni,Altre informazioni
Cod. postale,52048
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051025
Cod. catastale,F628
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 140 GG[3]"
Nome abitanti,savinesi
Patrono,sant'Egidio e san Savino
Giorno festivo,7 dicembre
Cartografia,Cartografia
Monte San Savino,Monte San Savino
Monte San Savino – MappaPosizione del comune di Monte San Savino all'interno della provincia di Arezzo,Monte San Savino – MappaPosizione del comune di Monte San Savino all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
