Caprese Michelangelo comune,Caprese Michelangelo comune.1
,
"Caprese Michelangelo – VedutaPalazzo Clusini, sede del Museo michelangiolesco.","Caprese Michelangelo – VedutaPalazzo Clusini, sede del Museo michelangiolesco."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Marida Brogialdi (lista civica Insieme per Caprese) dal 15-5-2023
Territorio,Territorio
Coordinate,43°38′27″N 11°59′09″E
Altitudine,653 m s.l.m.
Superficie,"66,53 km²"
Abitanti,1 326[1] (30-11-2025)
Densità,"19,93 ab./km²"
Frazioni,"Baccanello, Casalino di Caprese, Dicciano, Fragaiolo, Gregnano, Lama, Manzi, Monna, Papiano, Ponte Singerna, San Casciano, San Cristoforo, Selva Perugina, Sovaggio, Trecciano, Valboncione"
Comuni confinanti,"Anghiari, Chitignano, Chiusi della Verna, Pieve Santo Stefano, Subbiano"
Altre informazioni,Altre informazioni
Cod. postale,52033
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051007
Cod. catastale,B693
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,capresani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Caprese Michelangelo,Caprese Michelangelo
Caprese Michelangelo – MappaPosizione del comune di Caprese Michelangelo all'interno della provincia di Arezzo,Caprese Michelangelo – MappaPosizione del comune di Caprese Michelangelo all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
