Poppi comune,Poppi comune.1
,
Poppi – VedutaPanorama di Poppi dalla Torre del Castello dei Guidi,Poppi – VedutaPanorama di Poppi dalla Torre del Castello dei Guidi
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Federico Lorenzoni (lista civica Costruire il futuro) dal 10-6-2024
Territorio,Territorio
Coordinate,43°44′09″N 11°45′42″E
Altitudine,437 m s.l.m.
Superficie,"97,09 km²"
Abitanti,5 720[1] (30-11-2025)
Densità,"58,91 ab./km²"
Frazioni,"Avena, Badia Prataglia, Becarino, Camaldoli, Filetto, Fronzola, Larniano, Lierna, Loscove, Memmenano, Moggiona, Ponte a Poppi, Porrena, Quorle, Quota, Riosecco, Sala, San Martino a Monte, San Martino in Tremoleto"
Comuni confinanti,"Bagno di Romagna (FC), Bibbiena, Castel Focognano, Castel San Niccolò, Chiusi della Verna, Ortignano Raggiolo, Pratovecchio Stia"
Altre informazioni,Altre informazioni
Cod. postale,52014
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051031
Cod. catastale,G879
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 306 GG[3]"
Nome abitanti,poppesi
Patrono,Torello da Poppi[4][5]
Giorno festivo,16 marzo
Cartografia,Cartografia
Poppi,Poppi
Poppi – MappaPosizione del comune di Poppi all'interno della provincia di Arezzo,Poppi – MappaPosizione del comune di Poppi all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
