Capolona comune,Capolona comune.1
,
Capolona – Veduta,Capolona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Mario Francesconi (lista civica Futuro per Capolona) dal 10-6-2018
Territorio,Territorio
Coordinate,43°34′04″N 11°51′53″E
Altitudine,263 m s.l.m.
Superficie,"47,56 km²"
Abitanti,5 216[1] (30-11-2025)
Densità,"109,67 ab./km²"
Frazioni,"Bibbiano, Castelluccio, Lorenzano, Pieve San Giovanni, San Martino Sopr'Arno"
Comuni confinanti,"Arezzo, Castel Focognano, Castiglion Fibocchi, Subbiano, Talla"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051006
Cod. catastale,B670
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 026 GG[3]"
Nome abitanti,Capolonesi
Patrono,Natività di Maria Vergine[4]
Giorno festivo,8 settembre
Cartografia,Cartografia
Capolona,Capolona
Capolona – MappaPosizione del comune di Capolona all'interno della provincia di Arezzo,Capolona – MappaPosizione del comune di Capolona all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
