Foiano della Chiana comune,Foiano della Chiana comune.1
,
Foiano della Chiana – Veduta,Foiano della Chiana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Jacopo Franci (lista civica di centro-sinistra Scelgo Foiano) dal 10-6-2024
Territorio,Territorio
Coordinate,43°15′24″N 11°48′59″E
Altitudine,318 m s.l.m.
Superficie,"40,77 km²"
Abitanti,9 027[1] (30-11-2025)
Densità,"221,41 ab./km²"
Frazioni,"Anatraia, Case Nuove, La Pace, Ponte al Ramo, Pozzo della Chiana, Renzino, Santa Luce, Le Farniole"
Comuni confinanti,"Castiglion Fiorentino, Cortona, Lucignano, Marciano della Chiana, Sinalunga (SI)"
Altre informazioni,Altre informazioni
Cod. postale,52045
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051018
Cod. catastale,D649
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 121 GG[3]"
Nome abitanti,foianesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Foiano della Chiana,Foiano della Chiana
Foiano della Chiana – MappaPosizione del comune di Foiano della Chiana all'interno della provincia di Arezzo,Foiano della Chiana – MappaPosizione del comune di Foiano della Chiana all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
