Provincia di Arezzo provincia,Provincia di Arezzo provincia.1
,
"Provincia di Arezzo – VedutaPalazzo della Provincia, sede dell'amministrazione provinciale, 2022","Provincia di Arezzo – VedutaPalazzo della Provincia, sede dell'amministrazione provinciale, 2022"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Arezzo
Presidente,Alessandro Polcri (centro-destra) dal 18-12-2022
Data di istituzione,22 marzo 1860 (de facto) 20 marzo 1865 (de iure)
Territorio,Territorio
Coordinate del capoluogo,43°28′24″N 11°52′12″E
Superficie,"3 233,08 km²"
Abitanti,333 339[1] (31-10-2025)
Densità,"103,1 ab./km²"
Comuni,36 comuni
Province confinanti,"Firenze, Forlì-Cesena, Rimini, Pesaro e Urbino, Perugia, Siena"
Altre informazioni,Altre informazioni
Cod. postale,52100 (Arezzo) 52010 - 52048 (altri comuni)
Prefisso,"0575, 055"
Fuso orario,UTC+1
ISO 3166-2,IT-AR
Codice ISTAT,051
Targa,AR
Motto,(LA) Intra Tevero et Arno (IT) Tra il Tevere e l'Arno
Cartografia,Cartografia
Provincia di Arezzo – Localizzazione,Provincia di Arezzo – Localizzazione
Provincia di Arezzo – MappaPosizione della provincia di Arezzo all'interno della Toscana,Provincia di Arezzo – MappaPosizione della provincia di Arezzo all'interno della Toscana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
