Montemignaio comune,Montemignaio comune.1
,
Montemignaio – VedutaVeduta di Montemignaio,Montemignaio – VedutaVeduta di Montemignaio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Roberto Pertichini (lista civica Per Montemignaio) dal 12-6-2017 (2º mandato dal 22-9-2022)
Territorio,Territorio
Coordinate,43°44′24.04″N 11°37′12.47″E
Altitudine,739 m s.l.m.
Superficie,"25,94 km²"
Abitanti,497[1] (30-11-2025)
Densità,"19,16 ab./km²"
Frazioni,"Assillo, Brustichino, Cameronci, Campiano, Casodi, Castello, Cerreto, Consuma, Cozzo, Forcanasso, Fornello, Fossatello, La Fonte, Liconia, Masso, Masso Rovinato, Molino, Pieve, Poggiolino, Prato, Santo, Secchieta, Serraia, Treggiaia, Valendaia, Vignola"
Comuni confinanti,"Castel San Niccolò, Pelago (FI), Pratovecchio Stia, Reggello (FI), Rufina (FI)"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051023
Cod. catastale,F565
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 949 GG[3]"
Nome abitanti,montemignaiesi
Patrono,Madonna delle Calle
Giorno festivo,martedì dopo Pasqua
Cartografia,Cartografia
Montemignaio,Montemignaio
Montemignaio – MappaPosizione del comune di Montemignaio all'interno della provincia di Arezzo,Montemignaio – MappaPosizione del comune di Montemignaio all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
