Castelfranco Piandiscò comune,Castelfranco Piandiscò comune.1
,
Castelfranco Piandiscò – Veduta,Castelfranco Piandiscò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Capoluogo,Castelfranco di Sopra
Sindaco,Michele Rossi dal 10-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate del capoluogo,43°37′16.56″N 11°33′15.81″E
Altitudine,281 m s.l.m.
Superficie,"55,96[1] km²"
Abitanti,9 816[2] (30-11-2025)
Densità,"175,41 ab./km²"
Frazioni,"Casabiondo, Caspri, Castelfranco di Sopra (sede comunale), Certignano, Faella, Lama, Matassino, Pian di Scò, Pulicciano, Vaggio[3][4]"
Comuni confinanti,"Castel San Niccolò, Reggello (FI), Figline e Incisa Valdarno (FI), Loro Ciuffenna, San Giovanni Valdarno, Terranuova Bracciolini"
Altre informazioni,Altre informazioni
Cod. postale,52026 (Pian di Scò); 52020 (Castelfranco di Sopra)
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051040
Cod. catastale,M322
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[5]
Patrono,Filippo Neri[6]
Giorno festivo,26 maggio
Cartografia,Cartografia
Castelfranco di Sopra,Castelfranco di Sopra
Castelfranco Piandiscò – MappaPosizione del comune di Castelfranco Piandiscò nella provincia di Arezzo,Castelfranco Piandiscò – MappaPosizione del comune di Castelfranco Piandiscò nella provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
