San Giovanni Valdarno comune,San Giovanni Valdarno comune.1
,
San Giovanni Valdarno – Veduta,San Giovanni Valdarno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Valentina Vadi (PD) dal 9-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°33′52″N 11°31′58″E
Altitudine,134 m s.l.m.
Superficie,"21,45 km²"
Abitanti,16 569[1] (30-11-2025)
Densità,"772,45 ab./km²"
Frazioni,"Badiola I, Badiola II, Vacchereccia, Vacchereccia Fattoria"
Comuni confinanti,"Castelfranco Piandiscò, Cavriglia, Figline e Incisa Valdarno (FI), Montevarchi, Terranuova Bracciolini"
Altre informazioni,Altre informazioni
Cod. postale,52027
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051033
Cod. catastale,H901
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 937 GG[3]"
Nome abitanti,sangiovannesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni Valdarno,San Giovanni Valdarno
San Giovanni Valdarno – MappaPosizione del comune di San Giovanni Valdarno all'interno della provincia di Arezzo,San Giovanni Valdarno – MappaPosizione del comune di San Giovanni Valdarno all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
