Cortona comune,Cortona comune.1
,
Cortona – Veduta,Cortona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,"Luciano Meoni (Futuro per Cortona, centro-destra) dal 10-06-2019"
Territorio,Territorio
Coordinate,43°16′32″N 11°59′17″E
Altitudine,494[1] m s.l.m.
Superficie,"342,97[2] km²"
Abitanti,20 766[3] (01-10-2025)
Densità,"60,55 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Arezzo, Castiglion Fiorentino, Castiglione del Lago (PG), Città di Castello (PG), Foiano della Chiana, Lisciano Niccone (PG), Montepulciano (SI), Sinalunga (SI), Torrita di Siena (SI), Tuoro sul Trasimeno (PG), Umbertide (PG)"
Altre informazioni,Altre informazioni
Cod. postale,52044
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051017
Cod. catastale,D077
Targa,AR
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 282 GG[5]"
Nome abitanti,cortonesi
Patrono,"santa Margherita da Cortona, san Marco Evangelista"
Giorno festivo,22 febbraio
Cartografia,Cartografia
Cortona,Cortona
Cortona – MappaPosizione del comune di Cortona all'interno della provincia di Arezzo,Cortona – MappaPosizione del comune di Cortona all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
