Sansepolcro comune,Sansepolcro comune.1
,
Sansepolcro – Veduta,Sansepolcro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Fabrizio Innocenti (centro-destra) dal 18-10-2021
Territorio,Territorio
Coordinate,43°34′32″N 12°08′38″E
Altitudine,330 m s.l.m.
Superficie,"91,19 km²"
Abitanti,15 204[1] (30-11-2025)
Densità,"166,73 ab./km²"
Frazioni,"Aboca, Basilica, Cignano, Giardino, Gragnano, Gricignano, Melello, Montecasale, Montagna, Pocaia, Santa Fiora, Trebbio, Vannocchia"
Comuni confinanti,"Anghiari, Badia Tedalda, Borgo Pace (PU), Citerna (PG), Città di Castello (PG), Pieve Santo Stefano, San Giustino (PG)"
Altre informazioni,Altre informazioni
Cod. postale,52037
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051034
Cod. catastale,I155
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 231 GG[3]"
Nome abitanti,Biturgensi o borghesi
Patrono,"san Giovanni Evangelista, san Romualdo abate"
Giorno festivo,27 dicembre (festività civile e religiosa); 1º settembre e 19 giugno (festività religiose)
Cartografia,Cartografia
Sansepolcro,Sansepolcro
Sansepolcro – MappaPosizione del comune di Sansepolcro all'interno della provincia di Arezzo,Sansepolcro – MappaPosizione del comune di Sansepolcro all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
