Chitignano comune,Chitignano comune.1
,
Chitignano – Veduta,Chitignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Valentina Calbi (lista civica Per Chitignano) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°39′48″N 11°52′56″E
Altitudine,582 m s.l.m.
Superficie,"14,89 km²"
Abitanti,865[1] (30-11-2025)
Densità,"58,09 ab./km²"
Frazioni,"Rosina, Taena, La Croce, Monte Cucco, La Casella"
Comuni confinanti,"Caprese Michelangelo, Chiusi della Verna, Subbiano"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051014
Cod. catastale,C648
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 531 GG[3]"
Nome abitanti,chitignanini
Patrono,san Vincenzo martire
Giorno festivo,22 gennaio
Cartografia,Cartografia
Chitignano,Chitignano
Chitignano – MappaPosizione del comune di Chitignano all'interno della provincia di Arezzo,Chitignano – MappaPosizione del comune di Chitignano all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
