Cavriglia comune,Cavriglia comune.1
,
Cavriglia – Veduta,Cavriglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Leonardo Degl'Innocenti o Sanni (PD - Insieme per Cavriglia) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°31′17.64″N 11°29′11.17″E
Altitudine,308 m s.l.m.
Superficie,"60,87 km²"
Abitanti,9 515[1] (30-11-2025)
Densità,"156,32 ab./km²"
Frazioni,"Castelnuovo dei Sabbioni, Massa dei Sabbioni, Cetinale, Bellosguardo, Meleto Valdarno, Montegonzi, Neri, San Cipriano Valdarno, Santa Barbara (Cavriglia), Vacchereccia"
Comuni confinanti,"Figline e Incisa Valdarno (FI), Gaiole in Chianti (SI), Greve in Chianti (FI), Montevarchi, Radda in Chianti (SI), San Giovanni Valdarno"
Altre informazioni,Altre informazioni
Cod. postale,52022
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051013
Cod. catastale,C407
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 106 GG[3]"
Nome abitanti,cavrigliesi
Patrono,Beata Berta
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Cavriglia,Cavriglia
Cavriglia – MappaPosizione del comune di Cavriglia all'interno della provincia di Arezzo,Cavriglia – MappaPosizione del comune di Cavriglia all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
