Badia Tedalda comune,Badia Tedalda comune.1
,
"Badia Tedalda – VedutaPiazza dei Tedaldi, col Municipio","Badia Tedalda – VedutaPiazza dei Tedaldi, col Municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Alberto Santucci (lista civica Unità comunale) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°42′29″N 12°11′14″E
Altitudine,700 m s.l.m.
Superficie,"119,03[1] km²"
Abitanti,944[2] (30-11-2025)
Densità,"7,93 ab./km²"
Frazioni,"Caprile, Castellacciola, Cicognaia, Fresciano-Montebotolino, Montelabreve, Pratieghi, Rofelle, Sant'Andrea, Santa Sofia Marecchia, Stiavola, Viamaggio[3]"
Comuni confinanti,"Borgo Pace (PU), Casteldelci (RN), Pennabilli (RN), Pieve Santo Stefano, Sansepolcro, Sant'Agata Feltria (RN), Sestino, Verghereto (FC)"
Altre informazioni,Altre informazioni
Cod. postale,52032
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051003
Cod. catastale,A541
Targa,AR
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 713 GG[5]"
Nome abitanti,badiali
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Badia Tedalda,Badia Tedalda
Badia Tedalda – MappaPosizione del comune di Badia Tedalda all'interno della provincia di Arezzo,Badia Tedalda – MappaPosizione del comune di Badia Tedalda all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
