Castel San Niccolò comune,Castel San Niccolò comune.1
,
Castel San Niccolò – Veduta,Castel San Niccolò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Antonio Fani (lista civica Costruire per crescere) dal 27-5-2019
Territorio,Territorio
Coordinate,43°44′43″N 11°42′36″E
Altitudine,380 m s.l.m.
Superficie,"83,27 km²"
Abitanti,2 504[1] (30-11-2025)
Densità,"30,07 ab./km²"
Frazioni,"Barbiano, Battifolle, Borgo alla Collina, Caiano, Castello, Cetica, Garliano, Pagliericcio, Pratarutoli, Prato di Strada, Rifiglio, Ristonchi, San Pancrazio, Santa Maria, Spalanni, Strada in Casentino, Torre, Valgianni, Vertelli[2]"
Comuni confinanti,"Castelfranco Piandiscò, Loro Ciuffenna, Montemignaio, Ortignano Raggiolo, Poppi, Pratovecchio Stia, Reggello (FI)"
Altre informazioni,Altre informazioni
Cod. postale,"52018, 52010"
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051010
Cod. catastale,C263
Targa,AR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 170 GG[4]"
Nome abitanti,stradini
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Castel San Niccolò,Castel San Niccolò
Castel San Niccolò – MappaPosizione del comune di Castel San Niccolò all'interno della provincia di Arezzo,Castel San Niccolò – MappaPosizione del comune di Castel San Niccolò all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
