Ortignano Raggiolo comune,Ortignano Raggiolo comune.1
,
Ortignano Raggiolo – Veduta,Ortignano Raggiolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Capoluogo,Ortignano
Sindaco,Emanuele Ceccherini (lista civica Ortignano Raggiolo adesso) dal 27-5-2019 (2º mandato dal 10-06-2024)
Data di istituzione,1873
Territorio,Territorio
Coordinate del capoluogo,43°40′51″N 11°44′59″E
Altitudine,483 m s.l.m.
Superficie,"36,3 km²"
Abitanti,835[1] (30-11-2025)
Densità,23 ab./km²
Frazioni,"Badia Tega, Macee, Ortignano (sede comunale), Raggiolo, San Piero in Frassino, Uzzano, Villa"
Comuni confinanti,"Bibbiena, Castel Focognano, Castel San Niccolò, Loro Ciuffenna, Poppi"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051027
Cod. catastale,G139
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 377 GG[3]"
Nome abitanti,ortignanesi/raggiolatti
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Ortignano,Ortignano
Ortignano Raggiolo – MappaPosizione del comune di Ortignano Raggiolo all'interno della provincia di Arezzo,Ortignano Raggiolo – MappaPosizione del comune di Ortignano Raggiolo all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
