Loro Ciuffenna comune,Loro Ciuffenna comune.1
,
Loro Ciuffenna – Veduta,Loro Ciuffenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Andrea Rossi (Lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°35′12″N 11°37′43″E
Altitudine,330 m s.l.m.
Superficie,"86,52 km²"
Abitanti,5 875[1] (30-11-2025)
Densità,"67,9 ab./km²"
Frazioni,"Anciolina, Casale, Casamona, Chiassaia, Faeto, Gorgiti, Gropina, il Borro, la Casa, Modine, Poggio di Loro, Pratovalle, Rocca Ricciarda, San Clemente in Valle, San Giustino Valdarno, Trappola, Trevane, Villa"
Comuni confinanti,"Castel Focognano, Castel San Niccolò, Castelfranco Piandiscò, Castiglion Fibocchi, Ortignano Raggiolo, Talla, Terranuova Bracciolini."
Altre informazioni,Altre informazioni
Cod. postale,52024
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051020
Cod. catastale,E693
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 140 GG[3]"
Nome abitanti,loresi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Loro Ciuffenna,Loro Ciuffenna
Loro Ciuffenna – MappaPosizione del comune di Loro Ciuffenna all'interno della provincia di Arezzo,Loro Ciuffenna – MappaPosizione del comune di Loro Ciuffenna all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
