Talla comune,Talla comune.1
,
Talla – VedutaVeduta di Talla,Talla – VedutaVeduta di Talla
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Eleonora Ducci (lista civica Per Talla) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°36′10″N 11°47′17″E
Altitudine,348 m s.l.m.
Superficie,"59,89 km²"
Abitanti,964[1] (30-11-2025)
Densità,"16,1 ab./km²"
Frazioni,"Bicciano, Capraia, Faltona, Pieve di Pontenano, Pontenano, Santo-Bagnena"
Comuni confinanti,"Capolona, Castel Focognano, Castiglion Fibocchi, Loro Ciuffenna"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051038
Cod. catastale,L038
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 168 GG[3]"
Nome abitanti,tallesi
Patrono,San Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Talla,Talla
Talla – MappaPosizione del comune di Talla all'interno della provincia di Arezzo,Talla – MappaPosizione del comune di Talla all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
