Montevarchi comune,Montevarchi comune.1
,
Montevarchi – Veduta,Montevarchi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Silvia Chiassai Martini (centro-destra) dal 20-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°31′24.23″N 11°34′04.32″E
Altitudine,144 m s.l.m.
Superficie,"56,67 km²"
Abitanti,24 064[1] (30-11-2025)
Densità,"424,63 ab./km²"
Frazioni,"Caposelvi, Levane, Mercatale-Torre, Moncioni, Rendola, Ricasoli, Ventena[2]"
Comuni confinanti,"Bucine, Cavriglia, Gaiole in Chianti (SI), Laterina Pergine Valdarno, San Giovanni Valdarno, Terranuova Bracciolini"
Altre informazioni,Altre informazioni
Cod. postale,52025
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051026
Cod. catastale,F656
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 953 GG[4]"
Nome abitanti,montevarchini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Montevarchi,Montevarchi
Montevarchi – MappaPosizione del comune di Montevarchi all'interno della provincia di Arezzo,Montevarchi – MappaPosizione del comune di Montevarchi all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
