Laterina Pergine Valdarno comune,Laterina Pergine Valdarno comune.1
,
Laterina Pergine Valdarno – Veduta,Laterina Pergine Valdarno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Jacopo Tassini (lista civica Rinascita) dal 15-5-2023
Data di istituzione,1º gennaio 2018
Territorio,Territorio
Coordinate,43°28′42.9″N 11°41′05.96″E
Altitudine,240 m s.l.m.
Superficie,"70,57 km²"
Abitanti,6 286[1] (30-11-2025)
Densità,"89,07 ab./km²"
Frazioni,"Casanuova, Laterina, Montalto, Pergine Valdarno, Pieve a Presciano, Poggio Bagnoli, Ponticino, Vitereta"
Comuni confinanti,"Arezzo, Bucine, Castiglion Fibocchi, Civitella in Val di Chiana, Montevarchi, Terranuova Bracciolini"
Altre informazioni,Altre informazioni
Cod. postale,52019
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051042
Cod. catastale,M392
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Patrono,santi Lorentino e Pergentino
Giorno festivo,3 giugno
Cartografia,Cartografia
Laterina Pergine Valdarno,Laterina Pergine Valdarno
Laterina Pergine Valdarno – MappaPosizione del comune di Laterina Pergine Valdarno nella provincia di Arezzo,Laterina Pergine Valdarno – MappaPosizione del comune di Laterina Pergine Valdarno nella provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
