Bucine comune,Bucine comune.1
,
Bucine – Veduta,Bucine – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Paolo Nannini (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°28′39″N 11°36′57″E
Altitudine,250 m s.l.m.
Superficie,"131,11 km²"
Abitanti,9 900[1] (30-11-2025)
Densità,"75,51 ab./km²"
Frazioni,"Ambra, Badia Agnano, Badia a Roti, Capannole, Cennina, Duddova, Levane, Mercatale-Torre, Montebenichi, Pietraviva, Pogi, Rapale, San Leolino, San Pancrazio.[2]"
Comuni confinanti,"Castelnuovo Berardenga (SI), Civitella in Val di Chiana, Gaiole in Chianti (SI), Laterina Pergine Valdarno, Monte San Savino, Montevarchi, Rapolano Terme (SI)."
Altre informazioni,Altre informazioni
Cod. postale,52021
Prefisso,055
Fuso orario,UTC+1
Codice ISTAT,051005
Cod. catastale,B243
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 050 GG[4]"
Nome abitanti,bucinesi
Patrono,san Giovanni Battista e sant'Apollinare
Giorno festivo,23 luglio
Cartografia,Cartografia
Bucine,Bucine
Bucine – MappaPosizione del comune di Bucine all'interno della provincia di Arezzo,Bucine – MappaPosizione del comune di Bucine all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
