Chiusi della Verna comune,Chiusi della Verna comune.1
,
Chiusi della Verna – VedutaLa Verna vista da Beccia,Chiusi della Verna – VedutaLa Verna vista da Beccia
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Giampaolo Tellini (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°41′54″N 11°56′10″E
Altitudine,954 m s.l.m.
Superficie,"102,33 km²"
Abitanti,1 895[1] (30-11-2025)
Densità,"18,52 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bagno di Romagna (FC), Bibbiena, Caprese Michelangelo, Castel Focognano, Chitignano, Pieve Santo Stefano, Poppi, Subbiano, Verghereto (FC)"
Altre informazioni,Altre informazioni
Cod. postale,52010
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051015
Cod. catastale,C663
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 280 GG[3]"
Nome abitanti,chiusini
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Chiusi della Verna,Chiusi della Verna
Chiusi della Verna – MappaPosizione del comune di Chiusi della Verna all'interno della provincia di Arezzo,Chiusi della Verna – MappaPosizione del comune di Chiusi della Verna all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
