Castiglion Fiorentino comune,Castiglion Fiorentino comune.1
,
Castiglion Fiorentino – Veduta,Castiglion Fiorentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Mario Agnelli (lista civica di centro-destra Libera Castiglioni) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°20′38″N 11°55′08″E
Altitudine,342 m s.l.m.
Superficie,"111,58 km²"
Abitanti,12 827[1] (30-11-2025)
Densità,"114,96 ab./km²"
Frazioni,"Brolio, Castroncello, Cozzano, La Badia, La Montanina, La Nave, Mammi, Manciano La Misericordia, Montecchio Vesponi, Noceta, Orzale, Pergognano, Petreto, Pieve di Chio, Pievuccia, Polvano, Ranchetto, Ristonchia, Santa Cristina, Santa Lucia, Santa Margherita, Santo Stefano, Senaia, Valuberti"
Comuni confinanti,"Arezzo, Cortona, Foiano della Chiana, Marciano della Chiana"
Altre informazioni,Altre informazioni
Cod. postale,52043
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051012
Cod. catastale,C319
Targa,AR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 159 GG[3]"
Nome abitanti,castiglionesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Castiglion Fiorentino,Castiglion Fiorentino
Castiglion Fiorentino – MappaPosizione del comune di Castiglion Fiorentino all'interno della provincia di Arezzo,Castiglion Fiorentino – MappaPosizione del comune di Castiglion Fiorentino all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
