Arezzo comune,Arezzo comune.1
,
Arezzo – VedutaVeduta aerea di Arezzo,Arezzo – VedutaVeduta aerea di Arezzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Alessandro Ghinelli (indipendente di centro-destra) dal 16-6-2015 (2º mandato dal 6-10-2020)
Territorio,Territorio
Coordinate,43°27′47″N 11°52′41″E
Altitudine,296 m s.l.m.
Superficie,"384,7[1] km²"
Abitanti,96 534[2] (30-11-2025)
Densità,"250,93 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Anghiari, Capolona, Castiglion Fibocchi, Castiglion Fiorentino, Città di Castello (PG), Civitella in Val di Chiana, Cortona, Laterina Pergine Valdarno, Marciano della Chiana, Monte San Savino, Monte Santa Maria Tiberina (PG), Monterchi, Subbiano"
Altre informazioni,Altre informazioni
Cod. postale,52100
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051002
Cod. catastale,A390
Targa,AR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 104 GG[4]"
Nome abitanti,"aretini[5], arretini (nome antico)[5]"
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Arezzo,Arezzo
Arezzo – MappaPosizione del comune di Arezzo all'interno dell'omonima provincia,Arezzo – MappaPosizione del comune di Arezzo all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
