Lucignano comune,Lucignano comune.1
,
Lucignano – VedutaIl centro visto dalla Fortezza Medicea,Lucignano – VedutaIl centro visto dalla Fortezza Medicea
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Arezzo
Amministrazione,Amministrazione
Sindaco,Roberta Casini (lista civica di centro-sinistra Patto per Lucignano) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°16′28.3″N 11°44′45.65″E
Altitudine,400 m s.l.m.
Superficie,"44,81 km²"
Abitanti,3 405[1] (30-11-2025)
Densità,"75,99 ab./km²"
Frazioni,"Campoleone, Corti, Croce, Calcione, Maestà Dei Mori, Pieve Vecchia, Poschini, San Savino, Santa Maria, Scerpella-Sentenze"
Comuni confinanti,"Foiano della Chiana, Marciano della Chiana, Monte San Savino, Rapolano Terme (SI), Sinalunga (SI)"
Altre informazioni,Altre informazioni
Cod. postale,52046
Prefisso,0575
Fuso orario,UTC+1
Codice ISTAT,051021
Cod. catastale,E718
Targa,AR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 248 GG[3]"
Nome abitanti,lucignanesi
Patrono,San Felice
Giorno festivo,29 luglio
Cartografia,Cartografia
Lucignano,Lucignano
Lucignano – MappaPosizione del comune di Lucignano all'interno della provincia di Arezzo,Lucignano – MappaPosizione del comune di Lucignano all'interno della provincia di Arezzo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
