Sermoneta comune,Sermoneta comune.1
,
Sermoneta – Veduta,Sermoneta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Giuseppina Giovannoli (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,41°33′N 12°59′E
Altitudine,237 m s.l.m.
Superficie,45 km²
Abitanti,9 946[1] (30-11-2025)
Densità,"221,02 ab./km²"
Frazioni,"Carrara, Doganella, Monticchio, Pontenuovo, Sermoneta Scalo, Tufette"
Comuni confinanti,"Bassiano, Cisterna di Latina, Latina, Norma, Sezze"
Altre informazioni,Altre informazioni
Cod. postale,04013
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059027
Cod. catastale,I634
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 547 GG[3]"
Nome abitanti,Sermonetani
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Sermoneta,Sermoneta
Sermoneta – MappaPosizione del comune di Sermoneta nella provincia di Latina,Sermoneta – MappaPosizione del comune di Sermoneta nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
