Prossedi comune,Prossedi comune.1
,
Prossedi – Veduta,Prossedi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Angelo Pincivero (Fratelli d'Italia) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°31′N 13°16′E
Altitudine,206 m s.l.m.
Superficie,"35,37 km²"
Abitanti,1 115[1] (30-11-2025)
Densità,"31,52 ab./km²"
Frazioni,Pisterzo e La Torre
Comuni confinanti,"Amaseno (FR), Giuliano di Roma (FR), Maenza, Priverno, Roccasecca dei Volsci, Villa Santo Stefano (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059020
Cod. catastale,H076
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 453 GG[3]"
Nome abitanti,prossedani
Patrono,sant'Agata
Giorno festivo,ultima domenica di maggio[4]
Cartografia,Cartografia
Prossedi,Prossedi
Prossedi – MappaPosizione del comune di Prossedi nella provincia di Latina,Prossedi – MappaPosizione del comune di Prossedi nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
