Cori comune,Cori comune.1
,
Cori – Veduta,Cori – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Mauro Primio De Lillis (PD) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,41°39′N 12°55′E
Altitudine,384[1] m s.l.m.
Superficie,"85,31 km²"
Abitanti,10 451[2] (30-11-2025)
Densità,"122,51 ab./km²"
Frazioni,Giulianello
Comuni confinanti,"Artena (RM), Cisterna di Latina, Lariano (RM), Montelanico (RM), Norma, Rocca Massima, Segni (RM)"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,059006
Cod. catastale,D003
Targa,LT
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 781 GG[4]"
Nome abitanti,coresi (anticamente corani)
Patrono,"Oliva di Anagni, Madonna del Soccorso"
Giorno festivo,"prima domenica d'agosto, seconda domenica di maggio e lunedì successivo"
Cartografia,Cartografia
Cori,Cori
Cori – MappaPosizione del comune di Cori nella provincia di Latina,Cori – MappaPosizione del comune di Cori nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
