Pontinia comune,Pontinia comune.1
,
"Pontinia – VedutaVeduta aerea, 1939","Pontinia – VedutaVeduta aerea, 1939"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Eligio Tombolillo (lista civica) dal 4-10-2021
Data di istituzione,19 dicembre 1934
Territorio,Territorio
Coordinate,41°24′29.88″N 13°02′39.62″E
Altitudine,7 m s.l.m.
Superficie,"112,1 km²"
Abitanti,15 099[1] (30-11-2025)
Densità,"134,69 ab./km²"
Frazioni,"Borgo Pasubio, Campoioso, Cotarda, Mazzocchio, Mesa, Quartaccio."
Comuni confinanti,"Latina, Priverno, Sabaudia, Sezze, Sonnino, Terracina"
Altre informazioni,Altre informazioni
Cod. postale,04014
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059017
Cod. catastale,G865
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 165 GG[3]"
Nome abitanti,pontiniani
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Pontinia,Pontinia
Pontinia – MappaPosizione del comune di Pontinia nella provincia di Latina,Pontinia – MappaPosizione del comune di Pontinia nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
