Itri comune,Itri comune.1
,
Itri – Veduta,Itri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Andrea Di Biase (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,41°17′N 13°32′E
Altitudine,170 m s.l.m.
Superficie,"101,1 km²"
Abitanti,10 568[1] (30-11-2025)
Densità,"104,53 ab./km²"
Comuni confinanti,"Campodimele, Esperia (FR), Fondi, Formia, Gaeta, Sperlonga"
Altre informazioni,Altre informazioni
Cod. postale,04020
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059010
Cod. catastale,E375
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 387 GG[3]"
Nome abitanti,itrani
Patrono,Maria Santissima della Civita
Giorno festivo,21 luglio
Cartografia,Cartografia
Itri,Itri
Itri – MappaPosizione del comune di Itri nella provincia di Latina,Itri – MappaPosizione del comune di Itri nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
