Fondi comune,Fondi comune.1
,
Fondi – VedutaIl Castello baronale di Fondi,Fondi – VedutaIl Castello baronale di Fondi
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Beniamino Maschietto (FI) dal 21-9-2020
Territorio,Territorio
Coordinate,41°21′N 13°25′E
Altitudine,8 m s.l.m.
Superficie,"143,92 km²"
Abitanti,40 281[1] (30-11-2025)
Densità,"279,88 ab./km²"
Frazioni,"Capratica, Cocuruzzo, Curtignano, Greci, Madonna degli Angeli, Querce di Cesare, Rene, Salto di Fondi, San Magno, San Raffaele, Sant'Andrea, Sant'Antonio, Selvavetere"
Comuni confinanti,"Campodimele, Itri, Lenola, Monte San Biagio, Sperlonga, Terracina, Vallecorsa (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04022
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059007
Cod. catastale,D662
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 089 GG[3]"
Nome abitanti,fondani
Patrono,sant'Onorato di Fondi
Giorno festivo,10 ottobre
Cartografia,Cartografia
Fondi,Fondi
Fondi – MappaPosizione del comune di Fondi nella provincia di Latina,Fondi – MappaPosizione del comune di Fondi nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
