Bassiano comune,Bassiano comune.1
,
Bassiano – Veduta,Bassiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Giovanbattista Onori (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,41°33′N 13°02′E
Altitudine,562 m s.l.m.
Superficie,"32,4 km²"
Abitanti,1 432[1] (30-11-2025)
Densità,"44,2 ab./km²"
Comuni confinanti,"Carpineto Romano (RM), Norma, Sermoneta, Sezze"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059002
Cod. catastale,A707
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona E, 2 108 GG[3]"
Nome abitanti,bassianesi
Patrono,sant'Erasmo
Giorno festivo,2 giugno
Cartografia,Cartografia
Bassiano,Bassiano
Bassiano – MappaPosizione del comune di Bassiano nella provincia di Latina,Bassiano – MappaPosizione del comune di Bassiano nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
