Castelforte comune,Castelforte comune.1
,
Castelforte – Veduta,Castelforte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Angelo Felice Pompeo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°18′N 13°50′E
Altitudine,134 m s.l.m.
Superficie,"29,71 km²"
Abitanti,4 010[1] (30-11-2025)
Densità,"134,97 ab./km²"
Frazioni,Suio
Comuni confinanti,"Coreno Ausonio (FR), Rocca d'Evandro (CE), Sant'Andrea del Garigliano (FR), Santi Cosma e Damiano, Sessa Aurunca (CE), Vallemaio (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04021
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059004
Cod. catastale,C104
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 313 GG[3]"
Nome abitanti,castelfortesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castelforte,Castelforte
Castelforte – MappaPosizione del comune di Castelforte nella provincia di Latina,Castelforte – MappaPosizione del comune di Castelforte nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
