Norma comune,Norma comune.1
Norma,Norma
,
Norma – VedutaPanoramica,Norma – VedutaPanoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Andrea Dell'Omo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°35′N 12°58′E
Altitudine,444 m s.l.m.
Superficie,"30,78 km²"
Abitanti,3 719[1] (30-11-2025)
Densità,"120,83 ab./km²"
Frazioni,"Ospedaletto, Contrada Carella"
Comuni confinanti,"Bassiano, Carpineto Romano (RM), Cisterna di Latina, Cori, Montelanico (RM), Sermoneta"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059016
Cod. catastale,F937
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 828 GG[3]"
Nome abitanti,Normiciani
Patrono,Santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Norma,Norma
Norma – MappaPosizione del comune di Norma nella provincia di Latina,Norma – MappaPosizione del comune di Norma nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
