Monte San Biagio comune,Monte San Biagio comune.1
,
Monte San Biagio – Veduta,Monte San Biagio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Federico Carnevale (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°21′N 13°21′E
Altitudine,133 m s.l.m.
Superficie,"65,1 km²"
Abitanti,6 022[1] (30-11-2025)
Densità,"92,5 ab./km²"
Frazioni,"Campo Lungo, Campo Marinello, Col Cornacchia, Col Del Fico, La Vecchia, Macchioni, Monte San Biagio, Ponte Selvotta, Valle Marina, Vetica"
Comuni confinanti,"Amaseno (FR), Fondi, Sonnino, Terracina, Vallecorsa (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04020
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059015
Cod. catastale,F616
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 319 GG[3]"
Nome abitanti,monticellani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Monte San Biagio,Monte San Biagio
Monte San Biagio – MappaPosizione del comune di Monte San Biagio nella provincia di Latina,Monte San Biagio – MappaPosizione del comune di Monte San Biagio nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
