Gaeta comune,Gaeta comune.1
,
Gaeta – VedutaPanorama di Gaeta dal tempio di San Francesco con il castello angioino-aragonese,Gaeta – VedutaPanorama di Gaeta dal tempio di San Francesco con il castello angioino-aragonese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Cristian Leccese[1] (liste civiche di centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,41°13′N 13°34′E
Altitudine,2 m s.l.m.
Superficie,"29,2 km²"
Abitanti,19 078[2] (30-11-2025)
Densità,"653,36 ab./km²"
Frazioni,"Calegna, Gaeta vecchia/medio/evale, Piaja, Porto Salvo, Serapo"
Comuni confinanti,"Formia, Itri"
Altre informazioni,Altre informazioni
Cod. postale,04024
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059009
Cod. catastale,D843
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[3]
Cl. climatica,"zona C, 938 GG[4]"
Nome abitanti,gaetani
Patrono,sant’Erasmo
Giorno festivo,2 giugno
Cartografia,Cartografia
Gaeta,Gaeta
Gaeta – MappaPosizione del comune di Gaeta nella provincia di Latina,Gaeta – MappaPosizione del comune di Gaeta nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
