Lenola comune,Lenola comune.1
,
Lenola – Veduta,Lenola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Fernando Magnafico (lista civica Insieme per Lenola) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°24′33″N 13°27′45″E
Altitudine,475 m s.l.m.
Superficie,"45,24 km²"
Abitanti,4 092[1] (30-11-2025)
Densità,"90,45 ab./km²"
Frazioni,"Ambrifi, Camposerianni, Madonna del Latte, Carduso, Liverani, Passignano, Vallebernardo"
Comuni confinanti,"Campodimele, Castro dei Volsci (FR), Fondi, Pastena (FR), Pico (FR), Vallecorsa (FR)"
Altre informazioni,Altre informazioni
Cod. postale,04025
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059012
Cod. catastale,E527
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 856 GG[3]"
Nome abitanti,lenolesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lenola,Lenola
Lenola – MappaPosizione del comune di Lenola nella provincia di Latina,Lenola – MappaPosizione del comune di Lenola nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
