Ponza comune,Ponza comune.1
,
Ponza – Veduta,Ponza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Francesco Ambrosino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°54′N 12°58′E
Altitudine,10 m s.l.m.
Superficie,"10,16 km²"
Abitanti,3 283[1] (30-11-2025)
Densità,"323,13 ab./km²"
Frazioni,"Campo Inglese, Giancos, Guarini, I Conti, Le Forna, Santa Maria"
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,04027
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059018
Cod. catastale,G871
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 092 GG[3]"
Nome abitanti,ponzesi
Patrono,san Silverio
Giorno festivo,20 giugno
Cartografia,Cartografia
Ponza,Ponza
Ponza – MappaPosizione del comune di Ponza nella provincia di Latina,Ponza – MappaPosizione del comune di Ponza nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
