Sabaudia comune,Sabaudia comune.1
,
Sabaudia – Veduta,Sabaudia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Alberto Mosca (lista civica) dal 26-6-2022
Data di istituzione,15 aprile 1934
Territorio,Territorio
Coordinate,41°17′59.46″N 13°01′29.17″E
Altitudine,17 m s.l.m.
Superficie,"145,37 km²"
Abitanti,19 327[1] (30-11-2025)
Densità,"132,95 ab./km²"
Frazioni,"Baia d'Argento, Bella Farnia, Borgo San Donato, Borgo Vodice, Cerasella, Molella, Mezzomonte, Sacramento, Sant'Andrea, Sant'Isidoro"
Comuni confinanti,"Latina, Pontinia, San Felice Circeo, Terracina"
Altre informazioni,Altre informazioni
Cod. postale,04016
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059024
Cod. catastale,H647
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 171 GG[3]"
Nome abitanti,sabaudiani[4]
Patrono,Maria Santissima Annunziata (Annunciazione del signore)[5][6][7]
Giorno festivo,25 marzo
Cartografia,Cartografia
Sabaudia,Sabaudia
Sabaudia – MappaPosizione del comune di Sabaudia nella provincia di Latina,Sabaudia – MappaPosizione del comune di Sabaudia nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
