Roccasecca dei Volsci comune,Roccasecca dei Volsci comune.1
,
"Roccasecca dei Volsci – VedutaPalazzo Massimo, municipio di Roccasecca dei Volsci","Roccasecca dei Volsci – VedutaPalazzo Massimo, municipio di Roccasecca dei Volsci"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Barbara Petroni (lista civica) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°29′N 13°13′E
Altitudine,376 m s.l.m.
Superficie,"23,5 km²"
Abitanti,1 058[1] (30-11-2025)
Densità,"45,02 ab./km²"
Comuni confinanti,"Amaseno (FR), Priverno, Prossedi, Sonnino"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059023
Cod. catastale,H444
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 766 GG[3]"
Nome abitanti,roccaseccani
Patrono,"san Massimo[4], un corpo santo estratto dalla catacomba di Callisto il 21 maggio 1651."
Giorno festivo,terza domenica di agosto
Cartografia,Cartografia
Roccasecca dei Volsci,Roccasecca dei Volsci
Roccasecca dei Volsci – MappaPosizione del comune di Roccasecca dei Volsci nella provincia di Latina,Roccasecca dei Volsci – MappaPosizione del comune di Roccasecca dei Volsci nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
