Sperlonga comune,Sperlonga comune.1
,
Sperlonga – Veduta,Sperlonga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Armando Cusani (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°16′N 13°26′E
Altitudine,52 m s.l.m.
Superficie,"19,49 km²"
Abitanti,3 007[1] (30-11-2025)
Densità,"154,28 ab./km²"
Frazioni,Fontana della Camera
Comuni confinanti,"Fondi, Itri"
Altre informazioni,Altre informazioni
Cod. postale,04029
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059030
Cod. catastale,I892
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 175 GG[3]"
Nome abitanti,sperlongani
Patrono,san Leone Magno e San Rocco
Giorno festivo,10 settembre
Cartografia,Cartografia
Sperlonga,Sperlonga
Sperlonga – MappaPosizione del comune di Sperlonga nella provincia di Latina,Sperlonga – MappaPosizione del comune di Sperlonga nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
