Cisterna di Latina comune,Cisterna di Latina comune.1
,
Cisterna di Latina – VedutaPalazzo Caetani,Cisterna di Latina – VedutaPalazzo Caetani
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Valentino Mantini (centro-sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,41°35′20″N 12°49′50″E
Altitudine,77 m s.l.m.
Superficie,"144,16 km²"
Abitanti,36 251[1] (30-11-2025)
Densità,"251,46 ab./km²"
Frazioni,"Borgo Flora, Olmobello, Prato Cesarino, Le Castella, Doganella, Sant'Ilario-Castelverde, Isolabella"
Comuni confinanti,"Aprilia, Artena (RM), Cori, Latina, Norma, Sermoneta, Velletri (RM)"
Altre informazioni,Altre informazioni
Cod. postale,04012
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,059005
Cod. catastale,C740
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 216 GG[3]"
Nome abitanti,cisternesi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL procapite,(nominale) 9 975 €
Cartografia,Cartografia
Cisterna di Latina,Cisterna di Latina
Cisterna di Latina – MappaPosizione del comune di Cisterna di Latina nella provincia di Latina,Cisterna di Latina – MappaPosizione del comune di Cisterna di Latina nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
