Ventotene comune,Ventotene comune.1
,
Ventotene – Veduta,Ventotene – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Carmine Caputo (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°48′N 13°26′E
Altitudine,18 m s.l.m.
Superficie,"1,75 km²"
Abitanti,681[1] (30-11-2025)
Densità,"389,14 ab./km²"
Comuni confinanti,nessuno
Altre informazioni,Altre informazioni
Cod. postale,04031
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059033
Cod. catastale,L742
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 107 GG[3]"
Nome abitanti,ventotenesi
Patrono,santa Candida[4]
Giorno festivo,20 settembre
Cartografia,Cartografia
Ventotene,Ventotene
Ventotene – MappaPosizione del comune di Ventotene nella provincia di Latina,Ventotene – MappaPosizione del comune di Ventotene nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
