Spigno Saturnia comune,Spigno Saturnia comune.1
,
Spigno Saturnia – VedutaMonumento ai caduti in guerra,Spigno Saturnia – VedutaMonumento ai caduti in guerra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Marco Vento (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°18′N 13°44′E
Altitudine,46 m s.l.m.
Superficie,"38,74 km²"
Abitanti,2 843[1] (30-11-2025)
Densità,"73,39 ab./km²"
Frazioni,"Campodivivo, Santo Stefano, Piscinola, Capodacqua"
Comuni confinanti,"Ausonia (FR), Coreno Ausonio (FR), Esperia (FR), Formia, Minturno"
Altre informazioni,Altre informazioni
Cod. postale,04020
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059031
Cod. catastale,I902
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 017 GG[3]"
Nome abitanti,"spignesi, saturniani"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Spigno Saturnia,Spigno Saturnia
Spigno Saturnia – MappaPosizione del comune di Spigno Saturnia nella provincia di Latina,Spigno Saturnia – MappaPosizione del comune di Spigno Saturnia nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
