Sonnino comune,Sonnino comune.1
,
Sonnino – VedutaIl centro storico visto dall'alto,Sonnino – VedutaIl centro storico visto dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Gianni Carroccia (lista civica Sonnino insieme) dal 16-5-2023
Territorio,Territorio
Coordinate,41°24′52.05″N 13°14′29.03″E
Altitudine,401 m s.l.m.
Superficie,64[1] km²
Abitanti,7 459[2] (30-11-2025)
Densità,"116,55 ab./km²"
Frazioni,"Capocroce, Cascano, Case Murate, Cerreto, Costa la Traglia, Frasso, Sassa, Sonnino Scalo[3]"
Comuni confinanti,"Amaseno (FR), Monte San Biagio, Pontinia, Priverno, Roccasecca dei Volsci, Terracina"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059029
Cod. catastale,I832
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[4]
Cl. climatica,"zona D, 1 865 GG[5]"
Nome abitanti,sonninesi
Patrono,"san Marco Evangelista, san Gaspare del Bufalo, Madonna delle Grazie"
Giorno festivo,"25 aprile, 21 ottobre"
Cartografia,Cartografia
Sonnino,Sonnino
Sonnino – MappaPosizione del comune di Sonnino nella provincia di Latina,Sonnino – MappaPosizione del comune di Sonnino nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
