Terracina comune,Terracina comune.1
,
Terracina – Veduta,Terracina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Francesco Giannetti (centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,41°17′N 13°15′E
Altitudine,22 m s.l.m.
Superficie,"136,59 km²"
Abitanti,45 047[1] (30-11-2025)
Densità,"329,8 ab./km²"
Frazioni,"Borgo Hermada, Frasso (in parte condivisa con il comune di Sonnino), La Fiora, San Vito"
Comuni confinanti,"Fondi, Monte San Biagio, Pontinia, Sabaudia, San Felice Circeo, Sonnino"
Altre informazioni,Altre informazioni
Cod. postale,04019
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059032
Cod. catastale,L120
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 996 GG[3]"
Nome abitanti,terracinesi
Patrono,san Cesario
Giorno festivo,lunedì successivo alla prima domenica dopo il 5 novembre
Cartografia,Cartografia
Terracina,Terracina
Terracina – MappaPosizione del comune di Terracina nella provincia di Latina,Terracina – MappaPosizione del comune di Terracina nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
