Rocca Massima comune,Rocca Massima comune.1
,
"Rocca Massima – VedutaPorta Doria, via d'accesso principale al centro storico di Rocca Massima","Rocca Massima – VedutaPorta Doria, via d'accesso principale al centro storico di Rocca Massima"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Mario Lucarelli (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°40′41.99″N 12°55′14.27″E
Altitudine,750 m s.l.m.
Superficie,"18,17 km²"
Abitanti,1 127[1] (30-11-2025)
Densità,"62,03 ab./km²"
Frazioni,Boschetto di Rocca Massima
Comuni confinanti,"Artena (RM), Cori, Segni (RM)"
Altre informazioni,Altre informazioni
Cod. postale,04010
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,059022
Cod. catastale,H421
Targa,LT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 426 GG[3]"
Nome abitanti,rocchiggiani o roccheggiani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Rocca Massima,Rocca Massima
Rocca Massima – MappaPosizione del comune di Rocca Massima nella provincia di Latina,Rocca Massima – MappaPosizione del comune di Rocca Massima nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
