Formia comune,Formia comune.1
,
Formia – VedutaSpiaggia di Vindicio,Formia – VedutaSpiaggia di Vindicio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Gianluca Taddeo (centro-destra) dal 18-10-2021
Territorio,Territorio
Coordinate,41°15′23″N 13°36′25″E
Altitudine,19 m s.l.m.
Superficie,"74,17 km²"
Abitanti,37 000[1] (30-11-2025)
Densità,"498,85 ab./km²"
Frazioni,"Acqualonga, Castellone, Castellonorato, Gianola-Santo Janni, Mamurrano, Maranola, Mola, Penitro, Ponzanello, Rio Fresco, San Giulio, San Pietro, Santacroce, Trivio, Vindicio"
Comuni confinanti,"Esperia (FR), Gaeta, Itri, Minturno, Spigno Saturnia"
Altre informazioni,Altre informazioni
Cod. postale,04023
Prefisso,0771
Fuso orario,UTC+1
Codice ISTAT,059008
Cod. catastale,D708
Targa,LT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 967 GG[3]"
Nome abitanti,formiani
Patrono,sant'Erasmo di Formia (patrono) e san Giovanni Battista (compatrono)
Giorno festivo,rispettivamente il 2 e il 24 giugno
Cartografia,Cartografia
Formia,Formia
Formia – MappaPosizione del comune di Formia nella provincia di Latina,Formia – MappaPosizione del comune di Formia nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
