San Felice Circeo comune,San Felice Circeo comune.1
,
San Felice Circeo – VedutaPanorama di San Felice Circeo,San Felice Circeo – VedutaPanorama di San Felice Circeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Latina
Amministrazione,Amministrazione
Sindaco,Monia Di Cosimo (lista civica di centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,41°14′07″N 13°05′44″E
Altitudine,98 m s.l.m.
Superficie,"32,63 km²"
Abitanti,10 092[1] (30-11-2025)
Densità,"309,29 ab./km²"
Frazioni,"Borgo Montenero, Colonia Elena, La Cona, Pantano Marino, Campo La Mola, Le Cese, Faro, Colle La Guardia II, Mediana Vecchia[senza fonte]"
Comuni confinanti,"Sabaudia, Terracina"
Altre informazioni,Altre informazioni
Cod. postale,04017
Prefisso,0773
Fuso orario,UTC+1
Codice ISTAT,059025
Cod. catastale,H836
Targa,LT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona C, 1 254 GG[3]"
Nome abitanti,sanfeliciani
Patrono,san Felice martire
Giorno festivo,29 luglio
Cartografia,Cartografia
San Felice Circeo,San Felice Circeo
San Felice Circeo – MappaPosizione del comune di San Felice Circeo nella provincia di Latina,San Felice Circeo – MappaPosizione del comune di San Felice Circeo nella provincia di Latina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
