Provincia di Latina provincia,Provincia di Latina provincia.1
,
"Provincia di Latina – VedutaPalazzo del Governo, sede della Provincia, 2010","Provincia di Latina – VedutaPalazzo del Governo, sede della Provincia, 2010"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Amministrazione,Amministrazione
Capoluogo,Latina
Presidente,Gerardo Stefanelli (IV) dal 18-12-2021
Data di istituzione,18 dicembre 1934 (come provincia di Littoria) 7 giugno 1945 (come provincia di Latina)
Territorio,Territorio
Coordinate del capoluogo,41°28′03″N 12°54′13″E
Superficie,"2 256,16 km²"
Abitanti,567 261[1] (31-10-2025)
Densità,"251,43 ab./km²"
Comuni,33 comuni
Province confinanti,"Caserta, Frosinone, Roma"
Altre informazioni,Altre informazioni
Cod. postale,04100 (Latina) 04010 - 04031 (altri comuni)
Prefisso,"06, 0771, 0773"
Fuso orario,UTC+1
ISO 3166-2,IT-LT
Codice ISTAT,059
Targa,LT
Cartografia,Cartografia
Provincia di Latina – Localizzazione,Provincia di Latina – Localizzazione
Provincia di Latina – MappaPosizione della provincia di Latina nel Lazio,Provincia di Latina – MappaPosizione della provincia di Latina nel Lazio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
