Lusia comune,Lusia comune.1
,
Lusia – VedutaIl municipio,Lusia – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Luca Prando (lista civica) dal 2012 (3º mandato dal 2022)
Territorio,Territorio
Coordinate,45°06′N 11°40′E
Altitudine,10 m s.l.m.
Superficie,"17,68 km²"
Abitanti,3 191[1] (30-11-2025)
Densità,"180,49 ab./km²"
Frazioni,"Bornio, Ca' Morosini, Ca' Zen, Cavazzana[2]"
Comuni confinanti,"Barbona (PD), Lendinara, Rovigo, Sant'Urbano (PD), Villanova del Ghebbo"
Altre informazioni,Altre informazioni
Cod. postale,45020
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029031
Cod. catastale,E761
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 410 GG[4]"
Nome abitanti,lusiani
Cartografia,Cartografia
Lusia,Lusia
Lusia – MappaPosizione del comune di Lusia nella provincia di Rovigo,Lusia – MappaPosizione del comune di Lusia nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
