Adria comune,Adria comune.1
,
Adria – VedutaVeduta,Adria – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Massimo Barbujani (centro-destra) dal 29-5-2023
Territorio,Territorio
Coordinate,45°03′N 12°03′E
Altitudine,4 m s.l.m.
Superficie,"113,39 km²"
Abitanti,18 873[1] (30-11-2025)
Densità,"166,44 ab./km²"
Frazioni,"Baricetta, Bellombra, Bottrighe, Ca' Emo, Cavanella Po, Fasana, Mazzorno, Valliera[2]"
Comuni confinanti,"Cavarzere (VE), Ceregnano, Corbola, Gavello, Loreo, Papozze, Pettorazza Grimani, San Martino di Venezze, Taglio di Po, Villadose, Villanova Marchesana"
Altre informazioni,Altre informazioni
Cod. postale,45011
Prefisso,0426
Fuso orario,UTC+1
Codice ISTAT,029001
Cod. catastale,A059
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,adriesi
Patrono,San Bellino
Giorno festivo,26 novembre
Cartografia,Cartografia
Adria,Adria
Adria – MappaPosizione del comune di Adria nella provincia di Rovigo,Adria – MappaPosizione del comune di Adria nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
