Fratta Polesine comune,Fratta Polesine comune.1
,
Fratta Polesine – VedutaVilla Badoer,Fratta Polesine – VedutaVilla Badoer
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Giuseppe Tasso (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,45°02′N 11°39′E
Altitudine,11 m s.l.m.
Superficie,"20,97 km²"
Abitanti,2 430[1] (30-11-2025)
Densità,"115,88 ab./km²"
Frazioni,"Paolino, Ramedello"
Comuni confinanti,"Costa di Rovigo, Lendinara, Pincara, San Bellino, Villamarzana, Villanova del Ghebbo"
Altre informazioni,Altre informazioni
Cod. postale,45025
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029024
Cod. catastale,D788
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,frattensi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Fratta Polesine,Fratta Polesine
Fratta Polesine – MappaPosizione del comune di Fratta Polesine nella provincia di Rovigo,Fratta Polesine – MappaPosizione del comune di Fratta Polesine nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
