Porto Viro comune,Porto Viro comune.1
,
Porto Viro – VedutaIl palazzo municipale,Porto Viro – VedutaIl palazzo municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Mario Mantovan (lista civica di centro-sinistra Viva Porto Viro) dal 26-5-2025
Data di istituzione,1º gennaio 1995
Territorio,Territorio
Coordinate,45°01′N 12°13′E
Altitudine,2 m s.l.m.
Superficie,"133,77 km²"
Acque interne,"60 km² (44,85%)"
Abitanti,13 685[1] (30-11-2025)
Densità,"102,3 ab./km²"
Frazioni,"Ca' Cappellino, Ca' Cappello, Porto Levante, Villaregia (vedi sezione)"
Comuni confinanti,"Loreo, Porto Tolle, Rosolina, Taglio di Po"
Altre informazioni,Altre informazioni
Cod. postale,45014
Prefisso,0426
Fuso orario,UTC+1
Codice ISTAT,029052
Cod. catastale,G926
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 276 GG[3]"
Nome abitanti,portoviresi
Patrono,Maria Santissima Madre di Dio
Giorno festivo,11 ottobre
Cartografia,Cartografia
Porto Viro,Porto Viro
Porto Viro – MappaPosizione del comune di Porto Viro nella provincia di Rovigo,Porto Viro – MappaPosizione del comune di Porto Viro nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
