Ceregnano comune,Ceregnano comune.1
,
Ceregnano – VedutaIl municipio,Ceregnano – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Egisto Marchetti (lista civica di centro-destra Ceregnano idee in comune) dal 4-10-2021
Territorio,Territorio
Coordinate,45°02′36.82″N 11°54′23.76″E
Altitudine,5 m s.l.m.
Superficie,"30,17 km²"
Abitanti,3 380[1] (30-11-2025)
Densità,"112,03 ab./km²"
Frazioni,"Canale, Lama Polesine, Pezzoli"
Comuni confinanti,"Adria, Crespino, Gavello, Rovigo, Villadose"
Altre informazioni,Altre informazioni
Cod. postale,45010
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029015
Cod. catastale,C500
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,ceregnanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Ceregnano,Ceregnano
Ceregnano – MappaPosizione del comune di Ceregnano nella provincia di Rovigo,Ceregnano – MappaPosizione del comune di Ceregnano nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
