Rovigo comune,Rovigo comune.1
,
Rovigo – VedutaPiazza Vittorio Emanuele II,Rovigo – VedutaPiazza Vittorio Emanuele II
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Valeria Cittadin (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°04′51.24″N 11°47′38.4″E
Altitudine,7 m s.l.m.
Superficie,"108,81 km²"
Abitanti,49 994[1] (30-11-2025)
Densità,"459,46 ab./km²"
Frazioni,"Boara Polesine, Borsea, Buso, Concadirame, Fenil del Turco, Granzette, Grignano Polesine, Mardimago, Roverdicrè, Cantonazzo, Sant'Apollinare, Sarzano[2]"
Comuni confinanti,"Anguillara Veneta (PD), Arquà Polesine, Barbona (PD), Boara Pisani (PD), Bosaro, Ceregnano, Costa di Rovigo, Crespino, Lusia, Pontecchio Polesine, San Martino di Venezze, Vescovana (PD), Villadose, Villanova del Ghebbo"
Altre informazioni,Altre informazioni
Cod. postale,45100
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029041
Cod. catastale,H620
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,rodigini
Patrono,san Bellino vescovo
Giorno festivo,26 novembre
Cartografia,Cartografia
Rovigo,Rovigo
Rovigo – MappaPosizione del comune di Rovigo nell'omonima provincia,Rovigo – MappaPosizione del comune di Rovigo nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
