Bagnolo di Po comune,Bagnolo di Po comune.1
,
"Bagnolo di Po – VedutaPiazza Guglielmo Marconi e, in secondo piano, l'edificio municipale","Bagnolo di Po – VedutaPiazza Guglielmo Marconi e, in secondo piano, l'edificio municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Amor Zeri (lista civica di centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°01′N 11°30′E
Altitudine,7 m s.l.m.
Superficie,"21,36 km²"
Abitanti,1 201[1] (30-11-2025)
Densità,"56,23 ab./km²"
Frazioni,Runzi Località: Corà
Comuni confinanti,"Canda, Castelguglielmo, Ficarolo, Gaiba, Salara, Stienta, Trecenta"
Altre informazioni,Altre informazioni
Cod. postale,45022
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029005
Cod. catastale,A574
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,bagnolesi
Patrono,san Gottardo
Giorno festivo,5 maggio
Cartografia,Cartografia
Bagnolo di Po,Bagnolo di Po
Bagnolo di Po – MappaPosizione del comune di Bagnolo di Po nella provincia di Rovigo,Bagnolo di Po – MappaPosizione del comune di Bagnolo di Po nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
