Castelmassa comune,Castelmassa comune.1
,
Castelmassa – VedutaPiazza Libertà,Castelmassa – VedutaPiazza Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Federico Ragazzi (lista civica di Centro-destra Castelmassa Nuova) dal 10-6-2024
Territorio,Territorio
Coordinate,45°01′N 11°19′E
Altitudine,12 m s.l.m.
Superficie,"11,84 km²"
Abitanti,4 027[1] (30-11-2025)
Densità,"340,12 ab./km²"
Comuni confinanti,"Calto, Castelnovo Bariano, Ceneselli, Sermide e Felonica (MN)"
Altre informazioni,Altre informazioni
Cod. postale,45035
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029012
Cod. catastale,C207
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,massesi
Patrono,santo Stefano
Cartografia,Cartografia
Castelmassa,Castelmassa
Castelmassa – MappaPosizione del comune di Castelmassa nella provincia di Rovigo,Castelmassa – MappaPosizione del comune di Castelmassa nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
