Bosaro comune,Bosaro comune.1
,
Bosaro – VedutaPiazza Madonna San Luca e palazzina municipale,Bosaro – VedutaPiazza Madonna San Luca e palazzina municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Rovigo
Amministrazione,Amministrazione
Sindaco,Elena Paolizzi (lista civica Per Bosaro con la Gente) dal 10-6-2024
Territorio,Territorio
Coordinate,45°00′N 11°46′E
Altitudine,3 m s.l.m.
Superficie,"6,12 km²"
Abitanti,1 408[1] (30-11-2025)
Densità,"230,07 ab./km²"
Comuni confinanti,"Arquà Polesine, Guarda Veneta, Polesella, Pontecchio Polesine, Rovigo"
Altre informazioni,Altre informazioni
Cod. postale,45033
Prefisso,0425
Fuso orario,UTC+1
Codice ISTAT,029007
Cod. catastale,B069
Targa,RO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 466 GG[3]"
Nome abitanti,bosaresi
Cartografia,Cartografia
Bosaro,Bosaro
Bosaro – MappaPosizione del comune di Bosaro nella provincia di Rovigo,Bosaro – MappaPosizione del comune di Bosaro nella provincia di Rovigo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
